hidden_size,lr,reg,acc
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=5e-04, acc=56.16%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=5e-04, acc=56.16%
hidden_size=(1024, 512), lr=5e-02, reg=1e-04, acc=56.74%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=5e-04, acc=56.16%
hidden_size=(1024, 512), lr=5e-02, reg=1e-04, acc=56.74%
hidden_size=(1024, 512), lr=5e-02, reg=1e-05, acc=55.32%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=5e-04, acc=56.16%
hidden_size=(1024, 512), lr=5e-02, reg=1e-04, acc=56.74%
hidden_size=(1024, 512), lr=5e-02, reg=1e-05, acc=55.32%
hidden_size=(1024, 512), lr=5e-02, reg=5e-05, acc=54.66%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=5e-04, acc=56.16%
hidden_size=(1024, 512), lr=5e-02, reg=1e-04, acc=56.74%
hidden_size=(1024, 512), lr=5e-02, reg=1e-05, acc=55.32%
hidden_size=(1024, 512), lr=5e-02, reg=5e-05, acc=54.66%
hidden_size=(1024, 512), lr=5e-02, reg=5e-04, acc=55.02%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=5e-04, acc=56.16%
hidden_size=(1024, 512), lr=5e-02, reg=1e-04, acc=56.74%
hidden_size=(1024, 512), lr=5e-02, reg=1e-05, acc=55.32%
hidden_size=(1024, 512), lr=5e-02, reg=5e-05, acc=54.66%
hidden_size=(1024, 512), lr=5e-02, reg=5e-04, acc=55.02%
hidden_size=(1024, 512), lr=3e-02, reg=1e-04, acc=57.92%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=5e-04, acc=56.16%
hidden_size=(1024, 512), lr=5e-02, reg=1e-04, acc=56.74%
hidden_size=(1024, 512), lr=5e-02, reg=1e-05, acc=55.32%
hidden_size=(1024, 512), lr=5e-02, reg=5e-05, acc=54.66%
hidden_size=(1024, 512), lr=5e-02, reg=5e-04, acc=55.02%
hidden_size=(1024, 512), lr=3e-02, reg=1e-04, acc=57.92%
hidden_size=(1024, 512), lr=3e-02, reg=1e-05, acc=56.40%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=5e-04, acc=56.16%
hidden_size=(1024, 512), lr=5e-02, reg=1e-04, acc=56.74%
hidden_size=(1024, 512), lr=5e-02, reg=1e-05, acc=55.32%
hidden_size=(1024, 512), lr=5e-02, reg=5e-05, acc=54.66%
hidden_size=(1024, 512), lr=5e-02, reg=5e-04, acc=55.02%
hidden_size=(1024, 512), lr=3e-02, reg=1e-04, acc=57.92%
hidden_size=(1024, 512), lr=3e-02, reg=1e-05, acc=56.40%
hidden_size=(1024, 512), lr=3e-02, reg=5e-05, acc=55.72%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=5e-04, acc=56.16%
hidden_size=(1024, 512), lr=5e-02, reg=1e-04, acc=56.74%
hidden_size=(1024, 512), lr=5e-02, reg=1e-05, acc=55.32%
hidden_size=(1024, 512), lr=5e-02, reg=5e-05, acc=54.66%
hidden_size=(1024, 512), lr=5e-02, reg=5e-04, acc=55.02%
hidden_size=(1024, 512), lr=3e-02, reg=1e-04, acc=57.92%
hidden_size=(1024, 512), lr=3e-02, reg=1e-05, acc=56.40%
hidden_size=(1024, 512), lr=3e-02, reg=5e-05, acc=55.72%
hidden_size=(1024, 512), lr=3e-02, reg=5e-04, acc=56.60%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=5e-04, acc=56.16%
hidden_size=(1024, 512), lr=5e-02, reg=1e-04, acc=56.74%
hidden_size=(1024, 512), lr=5e-02, reg=1e-05, acc=55.32%
hidden_size=(1024, 512), lr=5e-02, reg=5e-05, acc=54.66%
hidden_size=(1024, 512), lr=5e-02, reg=5e-04, acc=55.02%
hidden_size=(1024, 512), lr=3e-02, reg=1e-04, acc=57.92%
hidden_size=(1024, 512), lr=3e-02, reg=1e-05, acc=56.40%
hidden_size=(1024, 512), lr=3e-02, reg=5e-05, acc=55.72%
hidden_size=(1024, 512), lr=3e-02, reg=5e-04, acc=56.60%
hidden_size=(1024, 512), lr=1e-02, reg=1e-04, acc=56.18%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=5e-04, acc=56.16%
hidden_size=(1024, 512), lr=5e-02, reg=1e-04, acc=56.74%
hidden_size=(1024, 512), lr=5e-02, reg=1e-05, acc=55.32%
hidden_size=(1024, 512), lr=5e-02, reg=5e-05, acc=54.66%
hidden_size=(1024, 512), lr=5e-02, reg=5e-04, acc=55.02%
hidden_size=(1024, 512), lr=3e-02, reg=1e-04, acc=57.92%
hidden_size=(1024, 512), lr=3e-02, reg=1e-05, acc=56.40%
hidden_size=(1024, 512), lr=3e-02, reg=5e-05, acc=55.72%
hidden_size=(1024, 512), lr=3e-02, reg=5e-04, acc=56.60%
hidden_size=(1024, 512), lr=1e-02, reg=1e-04, acc=56.18%
hidden_size=(1024, 512), lr=1e-02, reg=1e-05, acc=55.40%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=5e-04, acc=56.16%
hidden_size=(1024, 512), lr=5e-02, reg=1e-04, acc=56.74%
hidden_size=(1024, 512), lr=5e-02, reg=1e-05, acc=55.32%
hidden_size=(1024, 512), lr=5e-02, reg=5e-05, acc=54.66%
hidden_size=(1024, 512), lr=5e-02, reg=5e-04, acc=55.02%
hidden_size=(1024, 512), lr=3e-02, reg=1e-04, acc=57.92%
hidden_size=(1024, 512), lr=3e-02, reg=1e-05, acc=56.40%
hidden_size=(1024, 512), lr=3e-02, reg=5e-05, acc=55.72%
hidden_size=(1024, 512), lr=3e-02, reg=5e-04, acc=56.60%
hidden_size=(1024, 512), lr=1e-02, reg=1e-04, acc=56.18%
hidden_size=(1024, 512), lr=1e-02, reg=1e-05, acc=55.40%
hidden_size=(1024, 512), lr=1e-02, reg=5e-05, acc=55.84%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=5e-04, acc=56.16%
hidden_size=(1024, 512), lr=5e-02, reg=1e-04, acc=56.74%
hidden_size=(1024, 512), lr=5e-02, reg=1e-05, acc=55.32%
hidden_size=(1024, 512), lr=5e-02, reg=5e-05, acc=54.66%
hidden_size=(1024, 512), lr=5e-02, reg=5e-04, acc=55.02%
hidden_size=(1024, 512), lr=3e-02, reg=1e-04, acc=57.92%
hidden_size=(1024, 512), lr=3e-02, reg=1e-05, acc=56.40%
hidden_size=(1024, 512), lr=3e-02, reg=5e-05, acc=55.72%
hidden_size=(1024, 512), lr=3e-02, reg=5e-04, acc=56.60%
hidden_size=(1024, 512), lr=1e-02, reg=1e-04, acc=56.18%
hidden_size=(1024, 512), lr=1e-02, reg=1e-05, acc=55.40%
hidden_size=(1024, 512), lr=1e-02, reg=5e-05, acc=55.84%
hidden_size=(1024, 512), lr=1e-02, reg=5e-04, acc=54.80%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=5e-04, acc=56.16%
hidden_size=(1024, 512), lr=5e-02, reg=1e-04, acc=56.74%
hidden_size=(1024, 512), lr=5e-02, reg=1e-05, acc=55.32%
hidden_size=(1024, 512), lr=5e-02, reg=5e-05, acc=54.66%
hidden_size=(1024, 512), lr=5e-02, reg=5e-04, acc=55.02%
hidden_size=(1024, 512), lr=3e-02, reg=1e-04, acc=57.92%
hidden_size=(1024, 512), lr=3e-02, reg=1e-05, acc=56.40%
hidden_size=(1024, 512), lr=3e-02, reg=5e-05, acc=55.72%
hidden_size=(1024, 512), lr=3e-02, reg=5e-04, acc=56.60%
hidden_size=(1024, 512), lr=1e-02, reg=1e-04, acc=56.18%
hidden_size=(1024, 512), lr=1e-02, reg=1e-05, acc=55.40%
hidden_size=(1024, 512), lr=1e-02, reg=5e-05, acc=55.84%
hidden_size=(1024, 512), lr=1e-02, reg=5e-04, acc=54.80%
hidden_size=(2048, 1024), lr=8e-02, reg=1e-04, acc=57.70%
hidden_size=(1024, 512), lr=8e-02, reg=1e-04, acc=56.86%
hidden_size=(1024, 512), lr=8e-02, reg=1e-05, acc=54.86%
hidden_size=(1024, 512), lr=8e-02, reg=5e-05, acc=54.64%
hidden_size=(1024, 512), lr=8e-02, reg=5e-04, acc=56.16%
hidden_size=(1024, 512), lr=5e-02, reg=1e-04, acc=56.74%
hidden_size=(1024, 512), lr=5e-02, reg=1e-05, acc=55.32%
hidden_size=(1024, 512), lr=5e-02, reg=5e-05, acc=54.66%
hidden_size=(1024, 512), lr=5e-02, reg=5e-04, acc=55.02%
hidden_size=(1024, 512), lr=3e-02, reg=1e-04, acc=57.92%
hidden_size=(1024, 512), lr=3e-02, reg=1e-05, acc=56.40%
hidden_size=(1024, 512), lr=3e-02, reg=5e-05, acc=55.72%
hidden_size=(1024, 512), lr=3e-02, reg=5e-04, acc=56.60%
