hidden_size=(256, 128), lr=1e-03, reg=1e-04, acc=52.42%
hidden_size=(256, 128), lr=1e-03, reg=1e-03, acc=52.22%
hidden_size=(256, 128), lr=1e-03, reg=1e-02, acc=52.04%
hidden_size=(256, 128), lr=1e-03, reg=1e-01, acc=38.30%
hidden_size=(256, 128), lr=5e-03, reg=1e-04, acc=54.10%
hidden_size=(256, 128), lr=5e-03, reg=1e-03, acc=55.66%
hidden_size=(256, 128), lr=5e-03, reg=1e-02, acc=53.92%
hidden_size=(256, 128), lr=5e-03, reg=1e-01, acc=35.80%
hidden_size=(256, 128), lr=5e-02, reg=1e-04, acc=53.22%
hidden_size=(256, 128), lr=5e-02, reg=1e-03, acc=54.80%
hidden_size=(256, 128), lr=5e-02, reg=1e-02, acc=49.66%
hidden_size=(256, 128), lr=5e-02, reg=1e-01, acc=28.14%
hidden_size=(256, 128), lr=1e-02, reg=1e-04, acc=54.22%
hidden_size=(256, 128), lr=1e-02, reg=1e-03, acc=54.38%
hidden_size=(256, 128), lr=1e-02, reg=1e-02, acc=53.42%
hidden_size=(256, 128), lr=1e-02, reg=1e-01, acc=33.18%
hidden_size=(512, 256), lr=1e-03, reg=1e-04, acc=53.04%
hidden_size=(512, 256), lr=1e-03, reg=1e-03, acc=52.28%
hidden_size=(512, 256), lr=1e-03, reg=1e-02, acc=52.78%
hidden_size=(512, 256), lr=1e-03, reg=1e-01, acc=39.32%
hidden_size=(512, 256), lr=5e-03, reg=1e-04, acc=54.20%
hidden_size=(512, 256), lr=5e-03, reg=1e-03, acc=54.86%
hidden_size=(512, 256), lr=5e-03, reg=1e-02, acc=55.46%
hidden_size=(512, 256), lr=5e-03, reg=1e-01, acc=36.04%
hidden_size=(512, 256), lr=5e-02, reg=1e-04, acc=53.40%
hidden_size=(512, 256), lr=5e-02, reg=1e-03, acc=55.28%
hidden_size=(512, 256), lr=5e-02, reg=1e-02, acc=51.34%
hidden_size=(512, 256), lr=5e-02, reg=1e-01, acc=30.14%
hidden_size=(512, 256), lr=1e-02, reg=1e-04, acc=54.34%
hidden_size=(512, 256), lr=1e-02, reg=1e-03, acc=55.12%
hidden_size=(512, 256), lr=1e-02, reg=1e-02, acc=56.12%
hidden_size=(512, 256), lr=1e-02, reg=1e-01, acc=33.00%
hidden_size=(1024, 512), lr=1e-03, reg=1e-04, acc=53.34%
hidden_size=(1024, 512), lr=1e-03, reg=1e-03, acc=53.68%
hidden_size=(1024, 512), lr=1e-03, reg=1e-02, acc=52.80%
hidden_size=(1024, 512), lr=1e-03, reg=1e-01, acc=38.98%
hidden_size=(1024, 512), lr=5e-03, reg=1e-04, acc=55.32%
hidden_size=(1024, 512), lr=5e-03, reg=1e-03, acc=55.94%
hidden_size=(1024, 512), lr=5e-03, reg=1e-02, acc=53.54%
hidden_size=(1024, 512), lr=5e-03, reg=1e-01, acc=35.90%
hidden_size=(1024, 512), lr=5e-02, reg=1e-04, acc=57.56%
hidden_size=(1024, 512), lr=5e-02, reg=1e-03, acc=56.36%
hidden_size=(1024, 512), lr=5e-02, reg=1e-02, acc=49.90%
hidden_size=(1024, 512), lr=5e-02, reg=1e-01, acc=29.02%
hidden_size=(1024, 512), lr=1e-02, reg=1e-04, acc=55.34%
hidden_size=(1024, 512), lr=1e-02, reg=1e-03, acc=56.70%
hidden_size=(1024, 512), lr=1e-02, reg=1e-02, acc=56.34%
hidden_size=(1024, 512), lr=1e-02, reg=1e-01, acc=33.00%
